gene_id,U_statistic,p_value,bonferonni_p_value,group,gene_name
ENSG00000188931,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,C1orf192
ENSG00000079435,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,LIPE
ENSG00000229751,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,RP11-142M10.2
ENSG00000183798,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,EMILIN3
ENSG00000170615,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,SLC26A5
ENSG00000256861,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,RP11-512M8.5
ENSG00000121101,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,TEX14
ENSG00000213023,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,SYT3
ENSG00000107731,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,UNC5B
ENSG00000241839,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,PLEKHO2
ENSG00000229673,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,LL22NC01-116C6.1
ENSG00000187775,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,DNAH17
ENSG00000180694,2.0,1.76998610733e-07,0.00329111216797,M2_12+M6_07,TMEM64
ENSG00000065717,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,TLE2
ENSG00000172123,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,SLFN12
ENSG00000188566,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,NDOR1
ENSG00000105131,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,EPHX3
ENSG00000237836,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,PHKA2-AS1
ENSG00000179041,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,RRS1
ENSG00000266921,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,RP11-15A1.7
ENSG00000064961,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,HMG20B
ENSG00000272851,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,RP11-801F7.1
ENSG00000180881,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,CAPS2
ENSG00000168040,4.0,4.93002101936e-07,0.0091668810834,M2_12+M6_07,FADD
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,ALPK3
ENSG00000225697,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,SLC26A6
ENSG00000259992,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-77K12.8
ENSG00000161958,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,FGF11
ENSG00000267503,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-53B2.4
ENSG00000183067,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,IGSF5
ENSG00000105137,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,SYDE1
ENSG00000119698,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,PPP4R4
ENSG00000170439,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,METTL7B
ENSG00000249430,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,CTD-2231H16.1
ENSG00000272846,0.0,1.01872631095e-13,1.89421970259e-09,M1_09+M6_06,RP11-701H24.10
ENSG00000215183,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,MSMP
ENSG00000236003,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,AC007050.17
ENSG00000135686,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,KLHL36
ENSG00000176734,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,TRIL
ENSG00000272086,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,CTD-2186M15.3
ENSG00000196365,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,LONP1
ENSG00000271970,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,RP3-337H4.10
ENSG00000145864,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,GABRB2
ENSG00000239906,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,RP11-34P13.14
ENSG00000196363,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,WDR5
ENSG00000124224,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,PPP4R1L
ENSG00000062038,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,CDH3
ENSG00000139219,0.0,7.11541748379e-10,1.32304072694e-05,M1_09+M6_06,COL2A1
ENSG00000197905,1.0,1.42763960813e-09,2.65455308736e-05,M1_09+M6_06,TEAD4
ENSG00000250614,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,AC007078.4
ENSG00000150990,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,DHX37
ENSG00000010539,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,ZNF200
ENSG00000172638,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,EFEMP2
ENSG00000260899,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,RP11-2C24.4
ENSG00000267767,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,CTC-523E23.4
ENSG00000232998,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,VPS13A-AS1
ENSG00000173567,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,GPR113
ENSG00000135424,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,ITGA7
ENSG00000135763,2.0,2.82887347017e-09,5.26000733043e-05,M1_09+M6_06,URB2
ENSG00000273153,0.0,6.11851651624e-08,0.00113767696103,M1_09+M6_06,RP11-406H21.2
ENSG00000259399,0.0,6.11851651624e-08,0.00113767696103,M1_09+M6_06,TGIF2-C20orf24
ENSG00000237836,0.0,6.11851651624e-08,0.00113767696103,M1_09+M6_06,PHKA2-AS1
ENSG00000181544,0.0,6.11851651624e-08,0.00113767696103,M1_09+M6_06,FANCB
ENSG00000142798,1.0,1.04560042523e-07,0.00194418943067,M1_09+M6_06,HSPG2
ENSG00000168040,1.0,1.04560042523e-07,0.00194418943067,M1_09+M6_06,FADD
ENSG00000070882,27.0,1.69891912544e-07,0.00315897022184,M1_09+M6_06,OSBPL3
